"filename", "language", "PHP", "CSV", "HTML", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\svguser\SVG\Ghostscript_Tiger.svg", "XML", 0, 0, 0, 0, 724, 0, 0, 1, 725
"c:\xampp\htdocs\svguser\SVG\download.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\xampp\htdocs\svguser\SVG\editor.svg", "XML", 0, 0, 0, 0, 20, 0, 2, 2, 24
"c:\xampp\htdocs\svguser\SVG\filemanagement.svg", "XML", 0, 0, 0, 0, 23, 0, 2, 2, 27
"c:\xampp\htdocs\svguser\SVG\imagemanagement.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\xampp\htdocs\svguser\SVG\setting.svg", "XML", 0, 0, 0, 0, 27, 0, 2, 1, 30
"c:\xampp\htdocs\svguser\SVG\upload.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\xampp\htdocs\svguser\SVG\vector-world-map-v2-1.svg", "XML", 0, 0, 0, 0, 413, 0, 0, 1, 414
"c:\xampp\htdocs\svguser\SVG\vector-world-map-v2.svg", "XML", 0, 0, 0, 0, 413, 0, 0, 1, 414
"c:\xampp\htdocs\svguser\SVG\view-editor.svg", "XML", 0, 0, 0, 0, 25, 0, 2, 1, 28
"c:\xampp\htdocs\svguser\SVG\名称未設定-1.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\xampp\htdocs\svguser\SVG\名称未設定-12.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\xampp\htdocs\svguser\SVG\名称未設定-14.svg", "XML", 0, 0, 0, 0, 31, 0, 1, 1, 33
"c:\xampp\htdocs\svguser\SVG\名称未設定-151.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\svguser\SVG\名称未設定-154.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\svguser\SVG\名称未設定-2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\svguser\SVG\名称未設定-22.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\svguser\SVG\名称未設定-31.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\xampp\htdocs\svguser\SVG\名称未設定-51.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\xampp\htdocs\svguser\SVG\名称未設定-551.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\xampp\htdocs\svguser\class_file_io.php", "PHP", 99, 0, 0, 0, 0, 0, 11, 25, 135
"c:\xampp\htdocs\svguser\class_json_edit.php", "PHP", 106, 0, 0, 0, 0, 0, 19, 20, 145
"c:\xampp\htdocs\svguser\css\common.css", "CSS", 0, 0, 0, 44, 0, 0, 1, 3, 48
"c:\xampp\htdocs\svguser\css\index.css", "CSS", 0, 0, 0, 35, 0, 0, 1, 2, 38
"c:\xampp\htdocs\svguser\css\list_img.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 2, 82
"c:\xampp\htdocs\svguser\css\list_page.css", "CSS", 0, 0, 0, 36, 0, 0, 0, 4, 40
"c:\xampp\htdocs\svguser\css\page_editor_main.css", "CSS", 0, 0, 0, 237, 0, 0, 7, 0, 244
"c:\xampp\htdocs\svguser\css\replace_page.css", "CSS", 0, 0, 0, 99, 0, 0, 0, 2, 101
"c:\xampp\htdocs\svguser\css\svg_editor_main.css", "CSS", 0, 0, 0, 112, 0, 0, 1, 2, 115
"c:\xampp\htdocs\svguser\data\profile.csv", "CSV", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\svguser\frame_inner_scripts\frame_inner.css", "CSS", 0, 0, 0, 13, 0, 0, 3, 0, 16
"c:\xampp\htdocs\svguser\frame_inner_scripts\frame_inner.js", "JavaScript", 0, 0, 0, 0, 0, 107, 7, 20, 134
"c:\xampp\htdocs\svguser\gate_xmlhttp_html.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\xampp\htdocs\svguser\gate_xmlhttp_svg.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 4, 48
"c:\xampp\htdocs\svguser\img\Rolling-1s-200px.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\xampp\htdocs\svguser\img\save.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\xampp\htdocs\svguser\index.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 1, 75
"c:\xampp\htdocs\svguser\js\editor.js", "JavaScript", 0, 0, 0, 0, 0, 69, 1, 20, 90
"c:\xampp\htdocs\svguser\js\hex_translater.js", "JavaScript", 0, 0, 0, 0, 0, 84, 9, 9, 102
